AUTHOR,COMMENT,RATING,TIME
"Anonymous","“
I bought an item online nearly two weeks ago and CeX sent me the wrong one. Also, the item they sent was broken and had wires hanging out from everywhere. Now its nearly two weeks since I returned and I am fighting to get my money back or any decent reply from CeX. Also, don't bother contacting the company director to complain, as he will not reply. STAY AWAY FROM CEX.
”","1","Posted 1 year ago"
"Anonymous","“
Dont inflate the PS5 Prices for your customers
--Person from the USA
”","1","Posted 1 year ago"
"Angry Customer","“
Disgusting company... Charging hugely inflated prices for the PS5 console. People are struggling to get this console for their kids this Christmas and lot's of people are also in financial difficulty! To take advantage and charge hundreds of pounds over the RRP is absolutely outrageous.
Boycott this company and let them feel the pain of lost revenue!!!
”","1","Posted 1 year ago"
"Anonymous","“
Price Gougers! Playstation 5 consoles being sold at over £350 above the RRP!
”","1","Posted 1 year ago"
"Tathagata","“
Extremely unhelpful people. My product was damaged twice during the warranty period and the second time round they said they wouldn’t repair it. They sell damaged stuff and their repair time is a minimum of 1 month after giving an assurance of 7 days.
”","1","Posted 1 year ago"
"Mac Salloum","“
Be A wear from Cex as most of the telephone they sale are stolen, i had experence when i bought Iphone 8 plus and paid £395.00 cash but after 6 monthe the phone givin no service , contact the EE and form the imi number found this telephone has black listed ie STOLEN, when i went to tell them they did not say sorry and he refund me £310.00 so I lost £85.00 this is I name it AROBBERY.
”","1","Posted 1 year ago"
"Chelsea Hamilton","“
Posted me an ipad with a passcode on it then sent me ones to try which completely disabled the ipad now not replying
”","1","Posted 1 year ago"
"Anonymous","“
From start to finish have found them to be appalling. Had over 100 phones to trade in (Old company phones) 90 of these were in good working order with little damage other than the odd scratch mark. Dropped them off at the store and was met by the most ignorant man Ive ever met who made a massive deal about me leave that volume of phones (Did he not want money for reselling them?) Told me could take 6 weeks or more. No problem given everything going on at the moment. Less that a week later I received 3 calls back to back from a private number, which for obvious reasons I don't answer, way to many scams going on. I get a very threatning voicemail left stating if I do not answer my phone immediately they will not process my order and ill loose the phones. After listening to it again 5 times I eventually deceiver the number I have to call and when I get on the phone he tells me that ALL the phones are rubbish and they are not a recycling center. When I questioned this and how its possible as many were used for only a few months and in good condition, he proceeds to tell me there is battery damage and broken screens. This is untrue as I got rid of all phones that wouldn't turn on or had cracked screens before we packaged them up to go to CEX. He then told me that all he is willing to give me is 12 euro for 4 Iphone 5c's. Absolute joke and he is an absolute cowboy. Will be lodging a formal complaint with CEX as the customer service was appalling. Run a mile!
”","1","Posted 1 year ago"
"Anonymous","“
No customer service whatsoever at your Braintree store.
I did a trade in drop and go, I also had 2 controllers and could only click on the option for 1 controller. The man wouldn’t let me speak was on the phone, took my items and wouldn’t let me in.
You can’t even ring a certain store that you want to communicate with. Apart from CEX there is no other place you can trade that I know of. More customer service from a funeral directors. I would give them zero if I could.
”","1","Posted 1 year ago"
"Anonymous","“
cex as a company are scam artist's, they over charge on consoles and don't give hardly anything for trade in. they also have a charge of £1.95 per item that they sell.
the company is also selling the new ps5 for roughly £150 more than its price new elsewhere which is £449.99, I have had horrible experiences with them including trying to trade something I brought from them back in for them to then turn around and say they cant take it.
”","1","Posted 1 year ago"
"Anonymous","“
Wish I'd read these reviews before my poor experience with CEX. Strange how many of these reviews are negative and on the CEX site, they are positive with higher ratings!
Went onto the CEX website, put in the details of the phones I wished to sell, received a fair price and took the phones to the nearest shop. All phones in good condition, some in original boxes, and with chargers.
A week later received an email to say they could not accept the phones due to all of them having physical damage. When I queried this and pointed out all phones were in good condition, they changed it to did not pass the test. Have collected the phones from the store now but staff could not, and still cannot explain what this means.
Best not to use CEX.
”","1","Posted 1 year ago"
"Joel Claydon","“
Purchased an Xbox One X console from CEX, however upon delivery the disc drive would not play standard DVDs. I returned this via their online returns address as advised to by Ramson however upon inspection they have chosen to completely ignore the fault and send me the console back saying they Could not verify the fault. If they had put any DVD in the disc drive, the fault would have been incredibly apparent so it is clear this was not done.
They are in breech of consumer rights when returning electronic goods and in breech of their own return policy.
”","1","Posted 1 year ago"
"Jonathan","“
Profiteering from a 13-year old whose XBox developed a fault whilst under warranty is the most disgusting behaviour a company could show. They should feel absolutely ashamed of their immoral activities. One day karma will serve justice on CeX and their deceitful policies.
”","1","Posted 1 year ago"
"Clo","“
My partner got an Xbox one off them and the disk tray didn’t work, sold a fake Xbox controller, tried taking it back and they called him a lier and wouldn’t admit that they sold it like that, complete con artists
”","1","Posted 1 year ago"
"Anonymous","“
you better buy from any random nigerian guy from ebay
”","2","Posted 1 year ago"
"Aundre","“
DON'T USE THEIR TRADE IN SERVICE!!
Even if your item is pretty much new and untouched they will give you a B-Grade. I think this approach is very dishonest. After using this service i no longer want to do business with CEX!
”","1","Posted 1 year ago"
"Anonymous","“
I went to the Welwyn Garden City store and was appalled with the attitude of the store manager customer service. I was looking at a game in the window however one of the colleges couldn't hear me due to the muffling of my mask so I temporarily just pulled down for a second to explain the one I wanted only to be shouted out by the manager in the distance you need to wear a mask and you now have contaiminated the window. Really unprofessional rude behaviour altogether with the overly inflated prices charging as new even though secondhand just tells me one thing this place is a joke just like the manager. Good luck in second lockdown with service like that!
”","1","Posted 1 year ago"
"Andrew","“
Sellers are young people who do not know anything about the product that is in the store and cannot explain or advise anything if you have a question about the product.
If you want to buy a game console, controller, or other expensive electronic device, then when you buy you are not shown anything and sold without any checks. Before the sale, they say that everything can be solved under the store's guarantee, but a return can be made only within 2 days, which violates the law, it seems to me.
When returning any goods, except for video or game discs, they take time to check in all ways they try to refuse a replacement or refund for a low-quality product.
If you sell your things to this store, then they are priced at the lowest rate. The amount that is offered to you in the store is below the lowest rate on their website.
They are just scammers and crooks.
”","1","Posted 1 year ago"
"Anonymous","“
Daughter bought a Grade A phone off these for £680 stoppd working after 3 weeks as it had been a stolen phone they sold her took it back and ended up having to pay another 100 for another phone no offer of compensation or anything
customer services waste of time i got some idiot called Nikhil who doesnt even read the emails properly before replying say sorry cant do anything
KEEP CLEAR
”","1","Posted 1 year ago"
"Christoper Moyle","“
I went to Cex to get my Xbox One repaired, they sent off the unit, advised it was working, I collected it and it wasn't working (£55 paid). I returned it to the store who confirmed it wasn't working and they sent it to the repair team again, it was 'repaired' and returned. I got the store to test this before I left and it wasn't working. This is now in the complaints process, however the incompetence level is staggering, it is made worse by the fact I asked Customer services to 'double' check the repair (second time) before returning it. Which they assured me they had done. (Clearly not). The customer service team are adamant the unit is working and the store (same company by the way) have checked to evidence it is not working. I asked the matter to be referred as a customer complaint (but this was not done), I have re-initiated this as a complaint and the store and the repair centre are trying to work out if the unit is broken or not. (As a non-engineer) I have plugged it in and there is no on light to show it is on (my money is on it being broken). Cex responded to this saying it was being sorted (it wasn't) and I have had to liase between the shop and the repair team. An update Cex fans, the repair team claim it is fixed and returned it for the third time...you guessed it. Not working, shambles. I should point out that the third party repair company is Remedy Tech Centre Ltd. Final update, I purchased a new power lead at the Xbox worked. The Tech team returned it not work for a third time advising no repair possible. I have complained and now they have listed some (repairs) they claim so to justify taking my money. My compliant has been rejected. I only hope the Managing Director of CEX recognises the Customer service failings. This company are truly appalling. I think I will start to copy and paste this review to a new place every day. In simple terms, taken in three times returned three times broken and charged for the privilege.
”","1","Posted 1 year ago"
"Ian Burdekin","“
VISITED OUR LOCAL CEX, BRIDLINGTON STORE, TODAY, AND SERVED BY CHERI-JO, POLITE, AND FRIENDLY, AS PURCHASED, PS4 GAME FIFA 21, EXCELLENT CUSTOMER SERVICE, AND NO QUIBBLES DELIVERY RETURNS, AND REFUNDS, OVERALL GAME PLAY, FOR FIFA 21, AMAZING GRAPHICS, COMPARED TO FIFA 20.
”","5","Posted 1 year ago"
"Jaynie Anne Louise Rush","“
Brought 600 computer part.. promised I had warranty.. faulty returned it with receipt. Refused to exchange, repair or refund !! Shop packed during pandemic against government rules.. staff no wearing masks.. still not resolved loss of 600 pound and broken p.c ! A disgrace!,
”","1","Posted 1 year ago"
"Dave Jackson","“
Recently bought a wii from cex including the control hand pets and a balance board , we never used it right away and after two weeks decided to set it up , one of the control modules would not Work ' wjdm we took it back to the shop they plated it was damage caused by leaking batteries and would not replace it , I stated that today was tho first time we had tried to use it and it had not had batteries in it since we bought at the shop ' they refused to listen to that and said contact head office ,
This we did with photo evidence of the leakage and their reply was our shop would not sell it in this condition , they did !
I will now not buy from this company again or recommendations recommend them to any one I know . Appalling service .
”","1","Posted 1 year ago"
"Anonymous","“
If I could give zero I would...
I sold my sons iPhone 6s on the basis of it working, but had scratches... was offered a decent amount of money.
However when the phone was dropped off at the store they changed this classification and deemed that the camera had a scratch, and was therefore not working.
They left a voicemail offering £20 for an iPhone 6s.... upon speaking to their customer service team they have revised this offer to £15 as they made an error on the memory size of the phone.
Absolute cowboys... really sharp dishonest practice
”","1","Posted 1 year ago"
"Nick Fuller","“
I bought a Samsung mobile device from the Tonbridge branch and had problems with it after a few days. I took it back and - although they couldn't replicate the issue after testing - they exchanged it for a replacement there an then under the 2 year warranty. Very good service from friendly and helpful staff.
”","5","Posted 1 year ago"
"Anonymous","“
They look for any excuse not to take in equipment. Some really pathetic reasons for equipment not being up to their standard for purchase.
”","1","Posted 1 year ago"
"SaltyNotStirred","“
Bought call of duty black ops for the ps3 online and the game broken the game freezes up before the first mission the the campaign even starts loading into multiplayer or zombies also sometimes freezes the game also a bunch of missing textures safe to say never order a game from them online.
”","1","Posted 1 year ago"
"Angela Roberts","“
I bought a galaxy s7 edge & had only had it a month the first day i had it the phone went dead...i thought i had just touched the side button..but soon discovered that it was the phone .i worked nights & the phone kept turning off..as i work nights i dropped the phone & cracked the back which i was soon to discover was fake..i went into cex & explained what was happening & i had only had the phone a month...they then told me that there was nothing that they could do ,so i took my phone elsewhere only to be told that it was the battery & it had swelled, so i booked it in to be fixed..what a surprise we had ..it was a fake battery ..also a fake back & that the back had been stuck down with glue..the phone was an absolute joke ....just like' CEX' they are the scum of all scum so if you have any sense at all STAY CLEAR.. ..
”","1","Posted 1 year ago"
"Anonymous","“
CeX trying to lowball offer after 'assessing' console
Checked what was needed to get a 'boxed' condition to trade in my PS3, now CeX are claiming that I do not meet criteria, and can only give me £26 instead of the £126 it was supposed to get traded in for in credit.
They are now making up all sorts of things that they have not told me when they directed me to customer services, as reasons why the console is not in 'boxed' condition - even when googling each new thing I've found out from the grapevine were present on new consoles (my console is a day1 console)
”","1","Posted 1 year ago"
"Anonymous","“
CeX trying to lowball offer after 'assessing' console
Checked what was needed to get a 'boxed' condition to trade in my PS3, now CeX are claiming that I do not meet criteria, and can only give me £26 instead of the £126 it was supposed to get traded in for in credit.
They are now making up all sorts of things that they have not told me when they directed me to customer services, as reasons why the console is not in 'boxed' condition - even when googling each new thing I've found out from the grapevine were present on new consoles (my console is a day1 console)
”","1","Posted 1 year ago"
"Anonymous","“
Cex staff are extremely rude and need to go on courses for customer service , oh and the staff need to get some deodorant ,shop always stinks of body odour.
”","1","Posted 1 year ago"
"Anonymous","“
me and my dad a couple years back thought of selling stuff that we didn't use to cex as cashies closed down and so we sold a couple games that lasted a year or so like rocket league, lego worlds and some others along with a camera a scratched iphone 5 and a cooler master keys lite l keyboard without the mouse and for all of that... 45 GODDAMN QUID and they asked about the camera password and we told em to f**k off and thinking back about it, we did the right decision as I couldn't even get the same keyboard with the money and that's why its 2 stars and i feel no ounce of regret from saying this
”","2","Posted 1 year ago"
"Bouvier99","“
I lost my money through three hyper yielding investment platforms whose companies were registered in London, UK. They claimed to have registered their companies in the US as well. The three companies are Moni-Finex (Moni-Finex Global), HybridReserve and InclusiveFx (Inclusive Services).
Moni Finex’s webpages have been inactive since the beginning of August and I have been unable to withdraw since July 12 2019 The MF migrated July 25 2019 to MoniFinex Mining, again unable to withdraw. The sites posted they were performing an internal audit during the month of August 2019; subsequently, it announced the systems were being upgraded since early August. All official Chat-rooms at Telegram, WhatsApp and Facebook are now disabled and some vanished altogether. I Contacted the CEO via WhatsApp, he did not read my notes or respond.
HybridReserve would keep promising mouth watering ROI to lure you in showing you simulated trades and it is almost impossible for you to make a withdrawal. One excuse after the other. That’s when it became crystal clear that I have been scammed of my hard earned money.
My total lost with these three companies was USD532,876.21 as of August 1, 2019. I needed a major portion of this balance to pay off the down-liners who were threatening to file charges for misleading as well as fraud. Their combined balance is approximately USD600,000. A top wealth recovery company in the US brilliantly helped recoup 92% of my lost capital to these fraud companies all within a 2 week period. I can’t thank you guys at RECOVERYWEALTHNOW360 at g mail d o t c o m enough . I am typing this with tears rolling down my cheeks! Please stay away from HYPER YIELDING INVESTMENT PLATFORMS to avoid the agony and pain I went through!
”","1","Posted 1 year ago"
"Ruaidhri","“
As bad as their name suggests. CEX are not to be trusted and have A terrible and rude customer service.
I bought a phone from them that had a spent battery. Tried to return the faulty item, only to get difficulty from the store staff and cex’s
Complaints dept.
On replacing the battery independently it transpired the phone also was sold with internal water damage.
Bad company
”","1","Posted 1 year ago"
"Anonymous","“
I purchase Samsung Note9 from Pheonix Market City Store.
The display was not working fine and gave it to the store for repairing.
Now i am waiting since almost a month and yet there is no reply from the store / service centre.
They are saying that they dont have the part and hence it is taking longer. Why should a customer suffer for their incapability to source the part.
Since last few days, they have stopped picking my calls, not answering my msg over whats app / email.
Very poor after sales support. I am very dissatisfied with the approach and behavior of the staff at the store.
I hope i get my phone soon. These ppl dont even care.
I would never ever shop from CeX again in my lifetime.
Worst ever experience for me.
”","1","Posted 1 year ago"
"Diana","“
Big thanks to Israel from East ham branch for such an excellent service.
”","5","Posted 1 year ago"
"Diana","“
Wanted to say thanks to Israel from East ham branch for such an excellent service.
”","5","Posted 1 year ago"
"William Ryder","“
Terrible.
Item was sold as A grade. Perfect for gift.
It arrived. I got it out of the box and one if the buttons fell off straight away.
Cex reaction has been poor. I asked to return. They said they need to investigate with store before I can return. After raising PayPal dispute I had a reply asking me to send the item back. As 8ts over £100 value cex want me to pay for return insured postage. Then claim the postage back by cheque. I'm not convinced with their customer service and so don't trust them to send timely cheque. Plus, who uses cheques now?! I'd have to drive into town, park, get mask on, visit bank to pay it in. Ridiculous. I wouldn't buy anything from them again.
Order 8511112
”","1","Posted 1 year ago"
"Alan Tickhill","“
I bought a phone online which was faulty when I received it, but when I took it into my local store they immediately replaced it without quibbling with a working one and refunded what I'd paid in carriage. I was served by a friendly, helpful assistant named Will. I'd certainly deal with CeX again.
”","5","Posted 1 year ago"
"Alan Tickhill","“
I bought a phone online from CeX which was faulty when I received it. But on taking it intoto local store, they replaced it with no argument and apologised for myour inconvenience. Excellent service
”","5","Posted 1 year ago"
"Tom Smith","“
its would be easier to say what isnt wrong
”","1","Posted 1 year ago"
"Anonymous","“
Sold a faulty product and blamed for the damage.
On September 1st I purchased a huawei p20 from the Norwich store. It hadn't been set up for long before I noticed battery issues, sound issues, and soon after that I was in a phone call (struggling to hear so I looked at the bottom of the phone) and noticed a red water indicator meaning the phone was sold with water damage. The phone had been in my pocket since getting this. I was planning on 48hr returning this for a better phone anyway as this store had a poor selection and my local store had agreed to allow me to order a different phone online before refunding the huawei so I wouldn't be without a phone.
Now I've worked for this company for 5 years total and I have experienced firsthand
1) staff making honest mistakes, which does happen.
2) staff ticking boxes on receipts they couldn't fully test (not enough signal to make a call, water indicator not visible, etc)
3) staff members blaming customers for damaging their phones knowing full well these mistakes did sometimes occur
Yet CeX are denying the possibility that a staff member made a mistake in this instance and essentially, I am being blamed. Funnily enough the pocket on my trackies is dry. I have seen a shocking amount of first hand accounts of others being sold faulty products and being blamed for it, as cex have a little tick box saying a product was tested completely and customers have no protection as they do not have evidence.
Thanks to cex I am now stuck with a broken phone and I have to return the phone ordered from cex online even though its over double the value of this one and also the one I've wanted for a really long time. I now cannot afford it again and after spending thousands over the years here I have now lost every bit of trust I had in this company. They reel you in with 2 years warranty but play customers like this. Will not ever be shopping here again, I have more trust in Facebook marketplace sellers.
”","1","Posted 1 year ago"
"Tom","“
I sent some items to CeX to sell and received a credit for them.
I decided to use the credit for three items.
Immediately after dispatch I received a notification that one item was not available and received a refund.
I received an empty envelope from CeX. No items or even and delivery note for the items.
I contacted the customer support sending photos of what was received and received a reply that they were investigating.
After three weeks I had got no further so posted a review on another review website. After posting this review the issue was immediately resolved. They claim the store fulfilling the order sent the items and as I received a sealed envelope I was not eligible for a refund. So I loose the £45 from the order and have another £45 in a company I no longer trust to fulfil my order.
”","1","Posted 1 year ago"
"Anonymous","“
If you’re ever thinking about repairing an item don’t go to cex. You’ll end up waiting weeks for your item to be sent back unrepaired. Scums
”","1","Posted 1 year ago"
"Anonymous","“
I took a phone to cash in which was near perfect. They would not take it because it rocked was the exact words also the price they offered was £43 even the c grade on their website price is £44 cash. This item was at least b grade £49. So there is a major discrepancy between what is offered when you go into store and website which needs to be fixed. I then took it to game who have me more and said it was in really good condition. Unfortunately it seems cex don't want items of will low ball offer you.
”","1","Posted 1 year ago"
"Anonymous","“
They sold a faulty product. Reported issue to them before end of warranty but I couldn't go in-store due to lockdown. They state that they extended it for 2 weeks as 'that was how long lockdown was' and that me not being able to use a different hidden form on their desktop website is why I couldn't find out about it. Their website sucks, even if their stores are okay, the product warranty is a lie. You can tell no UX design was put into the website.
”","1","Posted 1 year ago"
"Dave","“
I had decided to upgrade my cell phone and looked at the CEX reviews and decided to visit the Solihull branch. On the web site they advertise iphone 6s trade in for one of their phones around the £110 mark. I had just had a brand new screen fitted to my iphone 6s unlocked the day before. In the branch I was offered £15 for my phone against one of their phones.
The whole advertisement and trade in seems like one big long con job. I would have expected a realistic trade in offer not something which would have covered my petrol to the branch and back
Regards
Dave
”","1","Posted 1 year ago"
"Va Cong Pham","“
ordered a faulty 980Ti still waiting for refund so I can order another one as they won't send a replacement, taking ages after I sent in via special delivery.
”","1","Posted 1 year ago"
"Anonymous","“
The price they pay Vs the price they charge Vs their no refund rule is pure criminal!
”","1","Posted 1 year ago"
"Samuel Brayley","“
I never shop at CeX due to how overpriced everything is, but the Clinic for console repairs seemed like it could be a great service, until I actually used it of course
After finding them through their website, and everything looking like what I needed, I went in store where I was told they weren't actually running the Clinic service whatsoever, even after emailing them before going! I had to email them to get them to put up a banner on their website to actually tell people they aren't operating, and so I would know when they were open again
When they finally opened, weeks later, I took my device in. I explained exactly what the problem was and the repair I needed doing, filled out their forms and gave them my console
They started working on my device days later than claimed due to nobody at the store sending it for a while if the tracking information is to be believed. A few hours later, they messaged to say they couldn't repair it and they're sending it back to the store. Which was infuriating. I had told them exactly what the issue is and yet only later they decided to say we don't fix that issue, something they could have even told me weeks before and not wasted my time, but, it gets even worse...
It turns out they opened the device, breaking the manufacturers seal and replaced a completely irrelevant part that was working, which, due to the nature of it, now cannot be tested because my device is still broken. Them doing this needlessly has limited my warranty for a repair with other companies due to general policy, but, it gets even worse...
After receiving a message that my console was in store, I went in to collect it. Not sure why I expected more from them, but their incompetence shone through and they couldn't find my console. It wasn't there. So, after contacting support again they located the console and only due to me asking, agreed to courier it back to me instead of requiring a fourth trip to their store, 25 minutes away from me. I would assume this free courier back was an attempt to take some responsibility for their incompetence
I cannot recommend them for their store prices, and unfortunately can only recommend staying away from their Clinic repair service due to the risk of wasting your time and energy trying to deal with them. Just awful
”","1","Posted 1 year ago"
"Hon. A, Harrow.","“
Melissa from Harrow branch of CeX was exceptionally polite and patient. She smiled and was very friendly all through. She made customer service a great experience and made us fall in love with CeX. We will definitely visit Cex again and again for purchases and other transactions because of Melissa's excellent customer service. Thumbs up to Melissa at the Harrow branch of CeX.
Hon. A
”","5","Posted 1 year ago"
"ARP","“
Sold my PS3 games for an agreed price of £18.70 but received £14.70 for them, without any explanation as to why the amount received was £4 less than the agreed sum. All games were present and in good order. If had realised that this was going to be the case I might have sold them to Gamexchange for £17.47. If the agreed price could not have been met, Cex should have informed me of the lower price offered before completing the transaction. £18.00 would have been the minimum acceptable by me from Cex. I will be looking at the contact in terms and condition concerning lower offers and non authorisation from the vendor before contacting the regulators and trading standards.
”","1","Posted 1 year ago"
"Anonymous","“
I brought a game for my wii u for 8 pounds and I was happy go home to find out there is a crack on the side I am furious with vex don’t know wether I can trust them again
”","1","Posted 1 year ago"
"Rob Saville","“
Yesterday we sold numerous items to CeX in Scarborough, including a really good condition iPad Pro. CeX valued these at £569 and were happy to take them. They told us they can only pay via fast bank transfer (which was reluctantly agreed to by us). They assured us this would be completed by today (Wednesday, 5th August 2020), at the very latest. Surprise, surprise, we now have no money and they have our expensive items. They’ve even fully tested these items and acknowledged via email, that they are all great.
So today we try and solve this and get the money owed - well, you can’t contact them via their switchboard phone number conveniently! No direct store phone numbers either. FaceBook messenger - also unanswered! Website contact form - you guessed it, unanswered! My wife had to trail after work to one of their stores, just to try and find out what was going on. It just got quickly fobbed off on their payment processor WorldPay! Heard this excuse a few times before! However, their paperwork actually says “via faster payment” - which is virtually instant through banks these days.
Simply put... they have our items, we have zero money and they don’t seem too fussed at all about helping us now.
We have had zero issues with them in the past, we sell our old unused items and they pay cash. But this new experience has left us extemely sour. Instead of promising the “money will be with us same day, next day at the very latest”, why not just be truthful. Saves this kind of awful scenario for your customers.
I now have zero idea when we are getting the money owed to us, the store is basically saying “wait and see” - this is a disgusting business practice and not acceptable. I would very strongly suggest not selling your own items to CeX, especially if you expect them to honour what they say, or you value honesty, trust and support! There is no reason for them not to have paid by now! Not in the age of fast payments. Once they have your items, you are totally at their mercy. Be warned!
”","1","Posted 1 year ago"
"Rob Saville","“
Yesterday we sold numerous items to CeX in Scarborough, including a really good condition iPad Pro. CeX valued these at £569 and were happy to take them. They told us they can only pay via fast bank transfer (which was reluctantly agreed to by us). They assured us this would be completed by today (Wednesday, 5th August 2020), at the very latest. Surprise, surprise, we now have no money and they have our expensive items. They’ve even fully tested these items and acknowledged via email, that they are all great.
So today we try and solve this and get the money owed - well, you can’t contact them via their switchboard phone number conveniently! No direct store phone numbers either. FaceBook messenger - also unanswered! Website contact form - you guessed it, unanswered! My wife had to trail after work to one of their stores, just to try and find out what was going on. It just got quickly fobbed off on their payment processor WorldPay! Heard this excuse a few times before! However, their paperwork actually says “via faster payment” - which is virtually instant through banks these days.
Simply put... they have our items, we have zero money and they don’t seem too fussed at all about helping us now.
We have had zero issues with them in the past, we sell our old unused items and they pay cash. But this new experience has left us extemely sour. Instead of promising the “money will be with us same day, next day at the very latest”, why not just be truthful. Saves this kind of awful scenario for your customers.
I now have zero idea when we are getting the money owed to us, the store is basically saying “wait and see” - this is a disgusting business practice and not acceptable. I would very strongly suggest not selling your own items to CeX, especially if you expect them to honour what they say, or you value honesty, trust and support! There is no reason for them not to have paid by now! Not in the age of fast payments. Once they have your items, you are totally at their mercy. Be warned!
”","1","Posted 1 year ago"
"Bilal","“
The Cox I always go to is amazing everything I bought is working
”","5","Posted 1 year ago"
"Keith","“
I took a Nintendo Wii to cex wythenshawe to sell told me to come back in 30 mins they changed the Wii for a tatty scratched one so that I would not get the £28 and only gave me £23 very bad people I will not use cex again iv been going for years but never again. I should of called the police.
”","1","Posted 1 year ago"
"Steven Bragg","“
I took my sons ps4 and xbox 360 both working perfectly but they won't buy as they said was faulty as the cables moved if you don't want to buy just say so don't make up excuses to get out of buying
”","1","Posted 1 year ago"
"Anonymous","“
Purchased a brand new 2DS XL, turns up and it is clearly second hand with included breadcrumbs! Awaiting an answer and refund. A very sad 5 year old now. Avoid.
”","1","Posted 1 year ago"
"Andy","“
Appalling!!
Bought online what was described as a grade B Xperia XA2 Ultra Dual sim. It arrived with numerous scratches, dirty, not reset & with 2 sim cards still in it..... And guess what, moments after turning it on I started receiving text messages for the previous owner.
Customer support very poor, at one point they began to accuse me of lying about the sim cards... A bit odd being as I sent them pictures within a couple of minutes of opening it.
Took about 4 weeks to finally get a refund even though the phone was returned immediately. Got the impression that the person in customer service who was emailing me had absolutely no interest whatsoever. An appalling experience & will not be using CEX again.
”","1","Posted 1 year ago"
"Anonymous","“
I purchased a PS4 console for my son.
Despite apparent checks on their products very disappointingly the console only worked for two months.
You are taking a gamble buying from this service.
”","2","Posted 1 year ago"
"Piotr T.","“
Clean and tidy shop
Staff kind and very helpful
Wide range of games, game consoles, mobile phones, tablets and more electronic gadgets
All items in good working condition and warranted
Good shop location and access
Purchased game console 2 years ago and many games- never let me down.
Definitely recommend
”","5","Posted 1 year ago"
"Anonymous","“
Idiots cancelled order after 5 days, which said was in stock when ordered.
Was for a birthday present which now leaves no time find replacement.
Thanks for nothing you complete time wasters.
Just go buy from well known brand new electrical store instead which delivers next day at least you know it will be delivered.
”","1","Posted 1 year ago"
"Anonymous","“
One order cancelled after 4 days, other order cancelled after 3 days. You know how CeX works? After item purchased online, they waiting another 3,4,5 days to see if the same item would be sold in store. If sold in store, they'll cancel online order. If not sold in store in 3,4,5 days, they'll dispatch the item to the ydiot bought it online. In that case this is not a serious company. Think that someone bought an item from you, after that your customer can lose auction or other similar items from other platforms, then, surprise : your order from CeX has been cancelled after 3,4,5 days. If sold in store, take it down from website. If sold online, don't continue to display the item in store for another few days. Again, this is not serious company. Last order number cancelled 8220117
”","1","Posted 1 year ago"
"Mr Very Unhappy","“
Posted this on CEX site to inform future customer of potential 2 Year guarantee failures. I expect it will be moderated off their reviews site.
Just hope you never need to use the 2 year guarantee. My daughter bought one because I was under the impression that the company would honour the said guarantee but I was wrong. After about a year the computer failed to boot. I took it to our local store where they said they would check it over. A few days later I had a phone call telling me that the computer had liquid damage and a cracked battery fixing that the store manager said was not present at the time of sale because he checked the initial buy in inspection report. Unfortunately this information is not available to customers in the form of photographic evidence, I suspect that the shop who bought it in just did a tick box job and wiped the computer over and no such checks were ever carried out. I was fuming as I was unable to prove that any of what I was told was accurate and correct, all I can say is that I am aware that Macs have liquid indicators on the logic board and they can slowly change colour with mild humidity over a long period of time. I took the computer to an independent mac repair specialist and on opening it they found NO sign of liquid damage, and the plastic clip fracture which was securing the battery I was told was a common issue with the heat which is generated in this component and not someone poking about.
The repairer tried changing some of the chips on the board but this still failed to resolve the issue. We settled for a replacement logic board at the cost of £180. The computer is now fine.
I was going to take the company through the small claims court but I was sick to the back teeth with their sharp unverifiable get out of warranty claims practice and didn't want to push up my blood pressure dealing with them.
Looking back I should have insisted that the computer be opened up in front of me and show me where this damage was and along with the so called buy in inspection report but these checks are done in the shops own time while you are out of the way.
The Mac engineer that fixed it for me told me that he had tried to sell a laptop to CEX that he had stripped and cleaned and checked that it was all OK. When he went back to check for their buying offer price they told him that a USB port was physically damaged and that the computer was not worth much. He knew that the computer was in perfect condition when he gave it to them but couldn't prove it. Why would you expect to need to have photographic evidence. I'll leave to conclusions up to you but I know who I believe.
I hope you Macbook has a long and happy life but be VERY VERY AWARE if you have a problem with it and expect some sort of warranty redress.
Have a look at the comments on the Internet about this company, you will find many people experiencing the same sort of sharp practice as I received.
I for one will NEVER NEVER NEVER have anything to do with this company again
On posting this reply I tried to use the nickname Mr Unhappy but the system said it was already used .... what can I say!!!
”","1","Posted 1 year ago"
"Chloe Bedford","“
I bought a smartwatch. It was second hand and I was assured it was a good price and that I would pay much more for a new one.
I was lied to. In fact they had charged the same price as a brand new watch!
To add to my distress, the watch was faulty and still had someone else's data. I have made 2 return visits to the store to be told I had to wait until they had  tested the watch. I am still waiting for the refund I am entitled to.
Dont fall for CEX's lies about pre owned goods at fair prices!
”","1","Posted 1 year ago"
"Sell Your Items ANYWHERE ELSE","“
So I’m currently experiencing an extremely frustrating issue with CEX.
I sold them an Xbox one with 12 or so games, reaching a price of almost £200.
I waited nearly 3 weeks for a reply from them, only to be told that they need personal information from me (E.G. my phone password, my PC login info, my network password, etc.)
I sent them a email to ask why they need all of this personal info as I factory reset my xbox, and I’ve heard nothing back since. I know there’s less staff working due to COVID, but this is ridiculous
I needed this money two weeks ago, but thanks for messing me around CEX, I’ll be sure to take my business elsewhere next time. Selling and Buying.
”","1","Posted 1 year ago"
